0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
-47.58,24.37,-47.18,24.7,-47.18,24.19,-47.18,-47.05,-46.85,24.25,24.54,24.02,-47.05,24.32,-47.25,24.49,-47.65,-47.44,-47.71,-47.44,-47.58,-47.79,-47.58,-47.79,-47.92,-47.31,-47.38,-47.38,-47.65,-47.65,-47.38,-47.58,-47.71,-47.44,-47.71,-47.18,-47.92,-47.71,-47.71,-47.92,-47.58,-47.85,-47.58,-47.44,-47.99,-47.71,-47.44,-47.58,-47.71,-47.51,-47.85,-47.65,-47.79,-47.65,-47.92,-47.51,-47.58,-47.65,-47.79,-47.44,-47.44,-47.51,-47.92,-47.65
-47.58,24.37,-47.25,24.69,-47.05,24.22,-47.12,-46.98,-46.98,24.24,24.53,24.06,-46.85,24.36,-46.79,24.5,-47.71,-47.44,-47.38,-47.58,-47.92,-47.65,-47.71,-47.38,-47.79,-47.44,-47.51,-47.58,-47.58,-47.58,-47.58,-47.58,-47.71,-47.31,-47.38,-47.65,-47.58,-47.58,-47.79,-47.58,-47.44,-47.65,-47.79,-47.58,-47.58,-47.51,-47.58,-47.38,-47.92,-47.58,-47.44,-47.38,-47.51,-47.65,-47.79,-47.31,-47.51,-47.71,-47.71,-47.71,-47.51,-47.18,-47.65,-47.18
-47.71,24.35,-47.58,24.69,-46.85,24.18,-47.31,-46.92,-46.79,24.26,24.53,24.05,-46.92,24.34,-47.38,24.52,-47.85,-47.65,-47.51,-47.71,-47.92,-47.79,-47.51,-47.85,-47.85,-47.79,-47.79,-47.51,-47.31,-47.44,-47.58,-47.31,-47.65,-47.38,-47.38,-47.51,-47.65,-47.51,-47.65,-47.38,-47.51,-47.51,-47.31,-47.65,-47.51,-47.58,-47.71,-47.51,-47.44,-47.38,-47.79,-47.65,-47.31,-47.31,-47.44,-47.58,-47.58,-47.71,-47.65,-47.25,-47.38,-47.38,-47.38,-47.51
